Team Name,2018,2017,2016,2015,2014,2013,2012,2011
Arizona Diamondbacks,142943363,119773775,103516382,93785101,111622519,91676478,83513105,71892471
Atlanta Braves,129455734,115455675,111153633,119944989,118670707,97802150,100278056,100978830
Baltimore Orioles,149039681,182523427,157201852,122373976,114852943,104110369,89562368,97090041
Boston Red Sox,236014630,222582008,215416336,219334278,174313058,175344264,182484051,181931961
Chicago Cubs,198034929,182400336,188402394,138693810,92939741,112621299,124149226,145574798
Chicago White Sox,87199753,94889688,141208186,122856087,97945936,116078395,112595603,130838749
Cincinnati Reds,110877650,115323803,114153537,117967447,115224318,105834640,91901498,83580546
Cleveland Indians,155474439,139412798,114707868,83595193,87402408,98204997,79634538,60360593
Colorado Rockies,154379382,146651941,120586480,118895781,99631678,85558124,89664881,85972070
Detroit Tigers,149821565,198716174,205894085,167686021,175485620,156758139,145654784,112537915
Houston Astros,166231420,149964177,114738542,97450835,55892190,35817913,64512439,89676503
Kansas City Royals,144307483,158941822,145220358,132090935,106410000,87998434,73994235,52193273
Los Angeles Angels of Anaheim,190182439,176337209,180743007,155073662,168171651,142255103,157949825,148609559
Los Angeles Dodgers,204443744,265432625,279004794,305807580,246765226,242143975,126750217,118968915
Miami Marlins,106607932,121457599,84361206,67538625,51271396,40906442,101337674,66007393
Milwaukee Brewers,106376286,83488679,75244791,100918873,113277046,88651045,116255300,94662802
Minnesota Twins,133257817,135654177,106235357,110971318,88980178,83128898,118764827,116434594
New York Mets,172018882,154829658,156642515,120371627,99914837,109130814,110980476,147019341
New York Yankees,177798096,220658752,227365376,228578373,218040731,243518340,230687356,216784678
Oakland Athletics,82653138,85977680,99914388,84426830,96833412,74625517,65433273,78355548
Philadelphia Phillies,112122062,116874208,118509109,146933339,178712205,166864298,180853923,172052182
Pittsburgh Pirates,102969565,109840330,105866836,105015606,77099115,77832184,62053269,64623427
San Diego Padres,116206512,91963878,133681702,110015272,89408667,75131341,69389413,62010510
San Francisco Giants,224972076,197523209,182827044,198506330,175249982,143167586,140482705,129123250
Seattle Mariners,167944662,171355830,155118253,128653173,111524174,84322622,90439430,103584148
St. Louis Cardinals,171011360,148654185,164516170,138502951,125450029,127119427,126111169,119732312
Tampa Bay Rays,91575107,91016605,71329749,78724752,82606546,76583703,72602230,49907532
Texas Rangers,157830287,176899040,168520990,164345607,144055583,143719546,148751346,113366721
Toronto Blue Jays,177802917,199430487,159923579,144454464,148910072,133006168,102199922,80442604
Washington Nationals,197946873,189292654,153078852,169469195,151982082,118565374,101398813,78185823
Average Payroll,150583326.1,152110747.6,145169445.7,136432734.3,123954801.7,114615919.5,112012865.1,105749969.6
Total Payroll,4517499784,4563322429,4355083371,4092982030,3718644050,3438477585,3360385952,3172499089
