Team,Abbr,Value_2011,2011_1_Year_Change,2011_Operating_Income,2012_Value,2012_1_Year_Change,2012_Operating_Income,Value_2013,Revenue_2013,Operating_Income_2013,Value_2014,Revenue_2014,Operating_Income_2014,Value_2015,Revenue_2015,Operating_Income_2015,Value_2016,Revenue_2016,Operating_Income_2016,Value_2017,Revenue_2017,Operating_Income_2017,Wins_2010,Wins_2011,Wins_2012,Wins_2013,Wins_2014,Wins_2015,Wins_2016,Wins_2017,Payroll_2011,Payroll_2012,Payroll_2013,Payroll_2014,Payroll_2015,Payroll_2016,Payroll_2017,Payroll_2018,Attendance_2010,Attendance_2011,Attendance_2012,Attendance_2013,Attendance_2014,Attendance_2015,Attendance_2016,Attendance_2017,Attendance_Total
Arizona_Diamondbacks,ARI,396,0.04,6.2,447,13,27.2,584,195,7.6,585,192,-5.8,840,211,-2.2,925,223,17,1210,258,34,65,94,81,81,64,79,69,93,71892471,83513105,91676478,111622519,93785101,103516382,119773775,142943363,2056519,2105432,2177617,2134795,2073730,2080145,2036216,2134375,16798829
Atlanta_Braves,ATL,482,7,22.2,508,5,20.7,629,225,12.4,730,253,38.4,1150,267,33.2,1180,266,28,1625,336,46,91,89,94,96,79,67,68,72,100978830,100278056,97802150,118670707,119944989,111153633,115455675,129455734,2510119,2372940,2420171,2548679,2354305,2001392,2020914,2505252,18733772
Baltimore_Orioles,BAL,411,9,25.5,460,12,12.9,618,206,30.1,620,108,1.6,1000,250,26.4,1000,239,9,1200,252,-26,66,69,93,85,96,81,89,75,97090041,89562368,104110369,114852943,122373976,157201852,182523427,149039681,1733018,1755461,2102240,2357561,2464473,2320590,2172344,2028424,16934111
Boston_Redsox,BOS,912,5,-1.1,1000,10,25.4,1312,336,23.9,1500,357,25.3,2100,370,49.2,2300,398,43,2800,453,86,89,90,69,97,71,78,93,93,181931961,182484051,175344264,174313058,219334278,215416336,222582008,236014630,3046445,3054001,3043003,2833333,2956089,2880694,2955434,2917678,23686677
Chicago_Cubs,CHC,773,6,23.4,879,14,28.1,1000,274,32.1,1200,266,27.3,1800,302,73.3,2200,340,51,2900,457,102,75,71,61,66,73,97,103,92,145574798,124149226,112621299,92939741,138693810,188402394,182400336,198034929,3062973,3017966,2882756,2642682,2652113,2959812,3232420,3199562,23650284
Chicago_White_Sox,CWS,526,13,27.6,600,14,10.7,692,216,22.9,695,210,-2.7,975,227,31.9,1050,240,20,1500,266,30,88,79,85,63,73,76,78,67,130838749,112595603,116078395,97945936,122856087,141208186,94889688,87199753,2194378,2001117,1965955,1768413,1650821,1755810,1746293,1629470,14712257
Cincinnati_Reds,CIN,375,13,20.1,424,13,17.1,546,202,20.9,600,209,-11.6,885,227,2.2,905,237,9,1010,243,14,91,79,97,90,76,64,68,68,83580546,91901498,105834640,115224318,117967447,114153537,115323803,110877650,2060551,2213498,2347251,2492059,2476664,2419506,1894085,1836917,17740531
Cleveland_Indians,CLE,353,-10,12.1,410,16,30.1,559,186,22.9,570,196,-1.9,825,207,8.9,800,220,18,1045,284,31,69,80,68,92,85,81,94,102,60360593,79634538,98204997,87402408,83595193,114707868,139412798,155474439,1391644,1840835,1603599,1572926,1437393,1388905,1591667,2048138,12875107
Colorado_Rockies,COL,414,8,16.3,464,12,14.4,537,199,18.7,575,197,13.7,855,214,12.6,860,227,5.5,1100,266,15,83,73,64,74,66,68,75,87,85972070,89664881,85558124,99631678,118895781,120586480,146651941,154379382,2875245,2909777,2630458,2793828,2680329,2506789,2602524,2953650,21952600
Detroit_Tigers,DET,385,3,-29.1,478,24,8.2,643,238,-0.4,680,262,7.5,1125,254,-20.7,1150,268,11,1225,277,-46,81,95,88,93,90,74,86,64,112537915,145654784,156758139,175485620,167686021,205894085,198716174,149821565,2461237,2642045,3028033,3083397,2917209,2726048,2493859,2321599,21673427
Houston_Astros,HOU,360,13,20.2,549,16,24.3,626,196,24.7,530,186,55.9,800,175,21.6,1100,270,67,1650,347,77,76,56,55,51,70,86,84,101,89676503,64512439,35817913,55892190,97450835,114738542,149964177,166231420,2331490,2067016,1607733,1651883,1751829,2153585,2306623,2403671,16273830
Kansas_City_Royals,KAN,474,5,14.4,354,1,38.5,457,169,16.3,490,178,-6.5,700,231,26.6,865,273,39,1015,245,-17,67,71,72,86,89,95,81,80,52193273,73994235,87998434,106410000,132090935,145220358,158941822,144307483,1615327,1724450,1739859,1750754,1956482,2708549,2557712,2220370,16273503
LosAngeles_Angels_of_Anaheim,LAA,351,3,10.3,656,18,-1.2,718,239,-12.9,775,253,5.8,1300,263,25,1340,312,42,1800,334,25,80,86,89,78,98,85,74,80,148609559,157949825,142255103,168171651,155073662,180743007,176337209,190182439,3250814,3166321,2177617,3019505,3095935,3012765,3016142,3019583,23758682
LosAngeles_Dodgers,LAD,554,6,11.8,1400,75,1.2,1615,245,3.2,2000,293,-80.9,2400,403,-12.2,2500,438,-73,3000,522,68,80,82,86,92,94,92,91,104,118968915,126750217,242143975,246765226,305807580,279004794,265432625,204443744,3562320,2935139,3324246,3743527,3782337,3764815,3703312,3765856,28581552
Miami_Marlins,MIA,800,10,32.8,450,25,12.9,520,195,-7.1,500,159,-8,650,188,15.4,675,199,16,1000,219,-53,80,72,69,62,77,71,79,77,66007393,101337674,40906442,51271396,67538625,84361206,121457599,106607932,1524894,1520562,2219444,1586322,1732283,1752235,1712417,1583014,13631171
Milwaukee_Brewers,MIL,376,7,12.4,448,19,19.2,562,201,9,565,197,6.8,875,226,11.3,875,234,27,1030,255,67,77,96,83,74,82,68,73,86,94662802,116255300,88651045,113277046,100918873,75244791,83488679,106376286,2776531,3071373,2831385,2531105,2797384,2542558,2131614,2558722,21240672
Minnesota_Twins,MIN,490,21,26.5,510,4,16.6,578,214,10.8,605,221,30.2,895,223,21.3,910,240,19,1150,261,23,94,63,66,66,70,83,59,85,116434594,118764827,83128898,88980178,110971318,106235357,135654177,133257817,3223640,3168107,2776354,2477644,2250606,2220054,1963912,2051279,20131596
NewYork_Mets,NYM,747,-13,-6.2,719,-4,-40.8,811,232,-2.4,800,238,1.6,1350,294,73.6,1650,313,47,2100,336,17,79,77,74,74,79,90,87,70,147019341,110980476,109130814,99914837,120371627,156642515,154829658,172018882,2559738,2378549,2219444,2135657,2148808,2569753,2789608,2460622,19262179
NewYork_Yankees,NYY,1700,6,25.7,1850,9,10,2300,471,1.4,2500,461,-9.1,3200,508,8.1,3400,516,13,4000,619,14,95,97,95,85,84,87,84,91,216784678,230687356,243518340,218040731,228578373,227365376,220658752,177798096,3765807,3653680,3542406,3279589,3401624,3193795,3063405,3146966,27047272
Oakland_Athletics,OAK,307,4,23.2,321,5,14.6,468,173,27.5,495,187,27.4,725,202,20.8,725,208,33,1020,210,15,81,74,94,96,88,68,69,75,78355548,65433273,74625517,96833412,84426830,99914388,85977680,82653138,1418391,1476792,1679013,1809302,2003628,1768175,1521506,1475721,13152528
Philadelphia_Phillies,PHI,609,13,8.9,723,19,-11.6,893,279,0.6,975,265,-20.9,1250,265,-39,1240,263,-9,1700,329,91,97,102,81,73,73,63,71,66,172052182,180853923,166864298,178712205,146933339,118509109,116874208,112122062,3647249,3680718,3565718,3012403,2423852,1831080,1915144,1905354,21981518
Pittsburgh_Pirates,PIT,304,5,24.6,336,11,15.9,479,178,26.8,572,204,21.8,900,229,43.6,975,244,35,1260,258,35,57,72,79,94,88,98,78,75,64623427,62053269,77832184,77099115,105015606,105866836,109840330,102969565,1613399,1940429,2091918,2256862,2442564,2498596,2249021,1919447,17012236
SanDiego_Padres,SD,406,0,37.2,458,13,23.2,600,189,29.9,615,207,33,890,224,35,890,244,33,1270,266,26,90,71,76,76,77,74,68,71,62010510,69389413,75131341,89408667,110015272,133681702,91963878,116206512,2131774,2143018,2123721,2166691,2195373,2459752,2351426,2138491,17710246
SanFrancisco_Giants,SF,563,16,29.9,643,14,8.8,786,262,17.6,1000,316,53.3,2000,387,68.4,2250,409,73,2850,445,84,92,86,94,76,88,84,87,64,129123250,140482705,143167586,175249982,198506330,182827044,197523209,224972076,2195284,1896321,1721920,1761546,2064334,2193581,2267928,2135445,16236359
Seattle_Mariners,SEA,449,2,9.9,585,30,2.2,644,215,12.9,710,210,5.3,1100,250,26.4,1200,271,17,1450,288,-2.4,61,67,75,71,87,76,86,78,103584148,90439430,84322622,111524174,128653173,155118253,171355830,167944662,3037443,3387303,3377371,3369106,3368697,3375882,3365256,3303652,26584710
StLouis_Cardinals,STL,518,6,19.8,591,14,25,716,239,19.9,820,283,65.2,1400,294,73.6,1600,300,60,1900,319,40,86,90,88,97,90,100,86,83,119732312,126111169,127119427,125450029,138502951,164516170,148654185,171011360,3301218,3093954,3262109,3369769,3540649,3520889,3444490,3447937,26981015
TampaBay_Rays,TB,331,5,6.8,323,-2,26.2,451,167,10,485,181,15.3,625,188,7.9,650,193,8,900,219,23,96,91,90,92,77,80,68,80,49907532,72602230,76583703,82606546,78724752,71329749,91016605,91575107,1864999,1529188,1559681,1510300,1446464,1247668,1286163,1253619,11698082
Texas_Rangers,TEX,561,25,22.6,674,20,15.3,764,239,-8.7,825,257,-4.9,1220,266,3.5,1230,275,-4.7,1600,311,30,90,96,93,91,67,88,95,78,113366721,148751346,143719546,144055583,164345607,168520990,176899040,157830287,2505171,2946949,3460280,3178273,2718733,2491875,2710402,2507760,22519443
Toronto_Blue_Jays,TOR,337,3,3.6,413,23,24.9,568,203,-4.8,610,218,-14.9,870,227,-17.9,900,241,1.2,1350,274,-1.3,85,81,73,74,83,93,89,76,80442604,102199922,133006168,148910072,144454464,159923579,199430487,177802917,1625555,1818103,2099663,2536562,2375525,2794891,3392299,3203886,19846484
